date;sku;error
2023-03-05 17:02:52;RM4014EW;notFound
2023-03-05 17:02:57;22SKV031;notFound
2023-03-05 17:02:57;16SKV267;notFound
2023-03-05 17:02:57;22SKV031;notFound
2023-03-05 17:13:18;22SKV031;notFound
2023-03-05 17:13:18;170408H800;notFound
2023-03-05 17:13:18;VITOA6393370310;notFound
2023-03-05 17:13:18;S5132008-S;notFound
2023-03-05 17:13:18;S5132016-S;notFound
2023-03-05 17:13:18;016-21101727;notFound
2023-03-05 17:13:18;016-20370927;notFound
2023-03-05 17:13:19;BKS-RE-002;notFound
2023-03-05 17:13:19;RM4014EW;notFound
2023-03-05 17:13:24;22SKV031;notFound
2023-03-05 17:13:24;16SKV267;notFound
2023-03-05 17:13:24;22SKV031;notFound
2023-03-06 09:45:05;22SKV031;notFound
2023-03-06 09:45:05;170408H800;notFound
2023-03-06 09:45:05;VITOA6393370310;notFound
2023-03-06 09:45:06;S5132008-S;notFound
2023-03-06 09:45:06;S5132016-S;notFound
2023-03-06 09:45:06;016-21101727;notFound
2023-03-06 09:45:06;016-20370927;notFound
2023-03-06 09:45:07;BKS-RE-002;notFound
2023-03-06 09:45:07;RM4014EW;notFound
2023-03-06 09:45:11;22SKV031;notFound
2023-03-06 09:45:11;16SKV267;notFound
2023-03-06 09:45:11;22SKV031;notFound
2023-03-06 09:54:13;22SKV031;notFound
2023-03-06 09:54:13;170408H800;notFound
2023-03-06 09:54:13;VITOA6393370310;notFound
2023-03-06 09:54:13;S5132008-S;notFound
2023-03-06 09:54:13;S5132016-S;notFound
2023-03-06 09:54:13;016-21101727;notFound
2023-03-06 09:54:13;016-20370927;notFound
2023-03-06 09:54:14;BKS-RE-002;notFound
2023-03-06 09:54:14;RM4014EW;notFound
2023-03-06 09:54:18;22SKV031;notFound
2023-03-06 09:54:19;16SKV267;notFound
2023-03-06 09:54:19;22SKV031;notFound
2023-03-06 09:58:28;22SKV031;notFound
2023-03-06 09:58:28;170408H800;notFound
2023-03-06 09:58:28;VITOA6393370310;notFound
2023-03-06 09:58:29;S5132008-S;notFound
2023-03-06 09:58:29;S5132016-S;notFound
2023-03-06 09:58:29;016-21101727;notFound
2023-03-06 09:58:29;016-20370927;notFound
2023-03-06 09:58:30;BKS-RE-002;notFound
2023-03-06 09:58:30;RM4014EW;notFound
2023-03-06 09:58:35;22SKV031;notFound
2023-03-06 09:58:35;16SKV267;notFound
2023-03-06 09:58:35;22SKV031;notFound
2023-03-06 10:00:23;22SKV031;notFound
2023-03-06 10:00:23;170408H800;notFound
2023-03-06 10:00:23;VITOA6393370310;notFound
2023-03-06 10:00:23;S5132008-S;notFound
2023-03-06 10:00:23;S5132016-S;notFound
2023-03-06 10:00:23;016-21101727;notFound
2023-03-06 10:00:23;016-20370927;notFound
2023-03-06 10:00:24;BKS-RE-002;notFound
2023-03-06 10:00:24;RM4014EW;notFound
2023-03-06 10:00:29;22SKV031;notFound
2023-03-06 10:00:29;16SKV267;notFound
2023-03-06 10:00:29;22SKV031;notFound
2023-03-07 10:49:49;BKS-RE-002;notFound
2023-03-07 10:54:54;BKS-RE-002;notFound
2023-03-07 11:15:19;BKS-RE-002;notFound
2023-03-07 11:18:12;BKS-RE-002;notFound
2023-03-07 11:19:11;BKS-RE-002;notFound
2023-03-07 11:27:29;22SKV031;notFound
2023-03-07 11:27:29;170408H800;notFound
2023-03-07 11:27:29;VITOA6393370310;notFound
2023-03-07 11:27:30;S5132008-S;notFound
2023-03-07 11:27:30;S5132016-S;notFound
2023-03-07 11:27:30;016-21101727;notFound
2023-03-07 11:27:30;016-20370927;notFound
2023-03-07 11:27:31;BKS-RE-002;notFound
2023-03-07 11:27:31;RM4014EW;notFound
2023-03-07 11:27:35;BKS-AU-001L;notFound
2023-03-07 11:27:35;BKS-AU-001L;notFound
2023-03-07 11:27:35;BKS-AU-001L;notFound
2023-03-07 11:27:35;BKS-AU-001L;notFound
2023-03-07 11:27:35;BKS-AU-001L;notFound
2023-03-07 11:27:35;BKS-AU-001R;notFound
2023-03-07 11:27:35;BKS-AU-001R;notFound
2023-03-07 11:27:35;BKS-AU-001R;notFound
2023-03-07 11:27:35;BKS-AU-001R;notFound
2023-03-07 11:27:35;BKS-AU-001R;notFound
2023-03-07 11:27:35;BKS-AU-001R;notFound
2023-03-07 11:27:35;22SKV031;notFound
2023-03-07 11:27:36;16SKV267;notFound
2023-03-07 11:27:36;22SKV031;notFound
2023-03-08 14:54:33;22SKV031;notFound
2023-03-08 14:54:33;170408H800;notFound
2023-03-08 14:54:33;VITOA6393370310;notFound
2023-03-08 14:54:34;S5132008-S;notFound
2023-03-08 14:54:34;S5132016-S;notFound
2023-03-08 14:54:34;016-21101727;notFound
2023-03-08 14:54:34;016-20370927;notFound
2023-03-08 14:54:35;BKS-RE-002;notFound
2023-03-08 14:54:35;RM4014EW;notFound
2023-03-08 14:54:39;BKS-AU-001L;notFound
2023-03-08 14:54:39;BKS-AU-001L;notFound
2023-03-08 14:54:39;BKS-AU-001L;notFound
2023-03-08 14:54:39;BKS-AU-001L;notFound
2023-03-08 14:54:39;BKS-AU-001L;notFound
2023-03-08 14:54:39;BKS-AU-001R;notFound
2023-03-08 14:54:39;BKS-AU-001R;notFound
2023-03-08 14:54:39;BKS-AU-001R;notFound
2023-03-08 14:54:39;BKS-AU-001R;notFound
2023-03-08 14:54:39;BKS-AU-001R;notFound
2023-03-08 14:54:39;BKS-AU-001R;notFound
2023-03-08 14:54:40;22SKV031;notFound
2023-03-08 14:54:40;16SKV267;notFound
2023-03-08 14:54:40;22SKV031;notFound
2023-03-09 09:38:35;22SKV031;notFound
2023-03-09 09:38:35;170408H800;notFound
2023-03-09 09:38:35;VITOA6393370310;notFound
2023-03-09 09:38:36;S5132008-S;notFound
2023-03-09 09:38:36;S5132016-S;notFound
2023-03-09 09:38:36;016-21101727;notFound
2023-03-09 09:38:36;016-20370927;notFound
2023-03-09 09:38:37;BKS-RE-002;notFound
2023-03-09 09:38:37;RM4014EW;notFound
2023-03-09 09:38:41;BKS-AU-001L;notFound
2023-03-09 09:38:41;BKS-AU-001L;notFound
2023-03-09 09:38:41;BKS-AU-001L;notFound
2023-03-09 09:38:41;BKS-AU-001L;notFound
2023-03-09 09:38:41;BKS-AU-001L;notFound
2023-03-09 09:38:41;BKS-AU-001R;notFound
2023-03-09 09:38:41;BKS-AU-001R;notFound
2023-03-09 09:38:41;BKS-AU-001R;notFound
2023-03-09 09:38:41;BKS-AU-001R;notFound
2023-03-09 09:38:41;BKS-AU-001R;notFound
2023-03-09 09:38:41;BKS-AU-001R;notFound
2023-03-09 09:38:41;22SKV031;notFound
2023-03-09 09:38:42;16SKV267;notFound
2023-03-09 09:38:42;22SKV031;notFound
2023-03-10 15:05:58;BKS-RE-002;notFound
2023-03-10 15:08:05;BKS-RE-002;notFound
2023-03-10 15:53:42;RM4014EW;notFound
2023-03-10 16:09:51;22SKV031;notFound
2023-03-10 16:09:51;170408H800;notFound
2023-03-10 16:09:51;VITOA6393370310;notFound
2023-03-10 16:09:52;S5132008-S;notFound
2023-03-10 16:09:52;S5132016-S;notFound
2023-03-10 16:09:52;016-21101727;notFound
2023-03-10 16:09:52;016-20370927;notFound
2023-03-10 16:09:53;BKS-RE-002;notFound
2023-03-10 16:09:53;RM4014EW;notFound
2023-03-10 16:09:57;BKS-AU-001L;notFound
2023-03-10 16:09:57;BKS-AU-001L;notFound
2023-03-10 16:09:57;BKS-AU-001L;notFound
2023-03-10 16:09:57;BKS-AU-001L;notFound
2023-03-10 16:09:57;BKS-AU-001L;notFound
2023-03-10 16:09:57;BKS-AU-001R;notFound
2023-03-10 16:09:57;BKS-AU-001R;notFound
2023-03-10 16:09:57;BKS-AU-001R;notFound
2023-03-10 16:09:57;BKS-AU-001R;notFound
2023-03-10 16:09:57;BKS-AU-001R;notFound
2023-03-10 16:09:57;BKS-AU-001R;notFound
2023-03-10 16:09:57;22SKV031;notFound
2023-03-10 16:09:58;16SKV267;notFound
2023-03-10 16:09:58;22SKV031;notFound
2023-03-10 16:09:59;016-20370927;notFound
2023-03-10 16:09:59;22SKV031;notFound
2023-03-10 16:09:59;22SKV031;notFound
2023-03-10 16:10:00;S5132016-S;notFound
2023-03-10 16:22:57;BKS-RE-002;notFound
2023-03-10 16:25:51;22SKV031;notFound
2023-03-10 16:25:51;170408H800;notFound
2023-03-10 16:25:51;VITOA6393370310;notFound
2023-03-10 16:25:51;S5132008-S;notFound
2023-03-10 16:25:51;S5132016-S;notFound
2023-03-10 16:25:51;016-21101727;notFound
2023-03-10 16:25:51;016-20370927;notFound
2023-03-10 16:25:52;BKS-RE-002;notFound
2023-03-10 16:25:52;RM4014EW;notFound
2023-03-10 16:25:57;BKS-AU-001L;notFound
2023-03-10 16:25:57;BKS-AU-001L;notFound
2023-03-10 16:25:57;BKS-AU-001L;notFound
2023-03-10 16:25:57;BKS-AU-001L;notFound
2023-03-10 16:25:57;BKS-AU-001L;notFound
2023-03-10 16:25:57;BKS-AU-001R;notFound
2023-03-10 16:25:57;BKS-AU-001R;notFound
2023-03-10 16:25:57;BKS-AU-001R;notFound
2023-03-10 16:25:57;BKS-AU-001R;notFound
2023-03-10 16:25:57;BKS-AU-001R;notFound
2023-03-10 16:25:57;BKS-AU-001R;notFound
2023-03-10 16:25:57;22SKV031;notFound
2023-03-10 16:25:58;16SKV267;notFound
2023-03-10 16:25:58;22SKV031;notFound
2023-03-10 16:25:59;016-20370927;notFound
2023-03-10 16:25:59;22SKV031;notFound
2023-03-10 16:26:00;22SKV031;notFound
2023-03-10 16:26:00;S5132016-S;notFound
2023-03-10 16:27:37;BKS-RE-002;notFound
2023-03-10 16:30:22;BKS-RE-002;notFound
2023-03-10 16:33:26;BKS-RE-002;notFound
2023-03-10 16:34:40;BKS-RE-002;notFound
2023-03-10 16:35:31;BKS-RE-002;notFound
2023-03-10 16:36:30;BKS-RE-002;notFound
2023-03-10 16:46:00;22SKV031;notFound
2023-03-10 16:46:00;170408H800;notFound
2023-03-10 16:46:00;VITOA6393370310;notFound
2023-03-10 16:46:00;S5132008-S;notFound
2023-03-10 16:46:00;S5132016-S;notFound
2023-03-10 16:46:00;016-21101727;notFound
2023-03-10 16:46:01;016-20370927;notFound
2023-03-10 16:46:02;BKS-RE-002;notFound
2023-03-10 16:46:02;RM4014EW;notFound
2023-03-10 16:46:06;BKS-AU-001L;notFound
2023-03-10 16:46:06;BKS-AU-001L;notFound
2023-03-10 16:46:06;BKS-AU-001L;notFound
2023-03-10 16:46:06;BKS-AU-001L;notFound
2023-03-10 16:46:06;BKS-AU-001L;notFound
2023-03-10 16:46:06;BKS-AU-001R;notFound
2023-03-10 16:46:06;BKS-AU-001R;notFound
2023-03-10 16:46:06;BKS-AU-001R;notFound
2023-03-10 16:46:06;BKS-AU-001R;notFound
2023-03-10 16:46:06;BKS-AU-001R;notFound
2023-03-10 16:46:06;BKS-AU-001R;notFound
2023-03-10 16:46:06;22SKV031;notFound
2023-03-10 16:46:06;16SKV267;notFound
2023-03-10 16:46:06;22SKV031;notFound
2023-03-10 16:46:08;016-20370927;notFound
2023-03-10 16:46:08;22SKV031;notFound
2023-03-10 16:46:08;22SKV031;notFound
2023-03-10 16:46:09;S5132016-S;notFound
2023-03-10 17:17:12;BKS-RE-002;notFound
2023-03-10 17:18:51;BKS-RE-002;notFound
2023-03-10 17:19:49;BKS-RE-002;notFound
2023-03-10 17:26:48;22SKV031;notFound
2023-03-10 17:26:48;170408H800;notFound
2023-03-10 17:26:48;VITOA6393370310;notFound
2023-03-10 17:26:48;S5132008-S;notFound
2023-03-10 17:26:48;S5132016-S;notFound
2023-03-10 17:26:48;016-21101727;notFound
2023-03-10 17:26:48;016-20370927;notFound
2023-03-10 17:26:49;BKS-RE-002;notFound
2023-03-10 17:26:49;RM4014EW;notFound
2023-03-10 17:26:54;BKS-AU-001L;notFound
2023-03-10 17:26:54;BKS-AU-001L;notFound
2023-03-10 17:26:54;BKS-AU-001L;notFound
2023-03-10 17:26:54;BKS-AU-001L;notFound
2023-03-10 17:26:54;BKS-AU-001L;notFound
2023-03-10 17:26:54;BKS-AU-001R;notFound
2023-03-10 17:26:54;BKS-AU-001R;notFound
2023-03-10 17:26:54;BKS-AU-001R;notFound
2023-03-10 17:26:54;BKS-AU-001R;notFound
2023-03-10 17:26:54;BKS-AU-001R;notFound
2023-03-10 17:26:54;BKS-AU-001R;notFound
2023-03-10 17:26:54;22SKV031;notFound
2023-03-10 17:26:55;16SKV267;notFound
2023-03-10 17:26:55;22SKV031;notFound
2023-03-10 17:26:56;016-20370927;notFound
2023-03-10 17:26:57;22SKV031;notFound
2023-03-10 17:26:57;22SKV031;notFound
2023-03-10 17:26:57;S5132016-S;notFound
2023-03-10 17:27:54;BKS-RE-002;notFound
2023-03-10 17:35:11;BKS-RE-002;notFound
2023-03-10 17:38:54;BKS-RE-002;notFound
2023-03-10 17:39:49;BKS-RE-002;notFound
